Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,Percentage_IR,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,Decimal Hours,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
Quolls,47.04,3,14,17,0.176470588,22.17,48.949,1012.828,3.51,1,400,0,23.392,1015,22.698,1016,,141.334,21.334,2020,1,6,21,20,5,10
Quolls,0,0,0,0,0,22.19,49.554,1012.744,4.213,0,400,1,23.696,1016,22.698,1016,,141.928,21.928,2020,1,6,21,55,41,10
Quolls,47.04,3,14,17,0.176470588,22.159,49.124,1012.81,3.656,1,400,0,23.801,1015,22.292,1016,,141.501,21.501,2020,1,6,21,30,5,10
Quolls,47.04,3,14,17,0.176470588,22.149,49.265,1012.84,3.411,1,400,0,23.286,1015,6.684,1015,,141.584,21.584,2020,1,6,21,35,5,10
Quolls,47.04,3,14,17,0.176470588,22.139,49.428,1012.872,3.142,1,400,0,0.498,1015,22.798,1015,,141.668,21.668,2020,1,6,21,40,5,10
Quolls,47.04,3,14,17,0.176470588,22.139,49.494,1012.873,3.132,1,400,0,24.205,979,22.698,1016,,141.751,21.751,2020,1,6,21,45,5,10
Quolls,47.04,3,14,17,0.176470588,22.139,49.582,1012.833,3.47,1,400,0,22.988,1015,22.392,1015,,141.834,21.834,2020,1,6,21,50,5,10
Quolls,0,0,0,0,0,22.11,50.006,1012.527,6.017,0,400,1,23.696,1016,23.61,1015,,142.428,22.428,2020,1,6,22,25,41,10
Quolls,0,0,0,0,0,22.129,49.767,1012.642,5.061,0,400,0,23.696,967,22.598,1016,,142.001,22.001,2020,1,6,22,0,5,10
Quolls,0,0,0,0,0,22.1,49.907,1012.645,5.031,0,400,0,24.099,1014,22.598,1016,,142.084,22.084,2020,1,6,22,5,5,10
